age,workclass,educational-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income,capital_diff
25,Private,7,Never-married,Machine-op-inspct,Own-child,Black,Male,40,United-States,0,0
38,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,0,0
28,Local-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1,0
44,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,1,7688
18,unknown,10,Never-married,unknown,Own-child,White,Female,30,United-States,0,0
34,Private,6,Never-married,Other-service,Not-in-family,White,Male,30,United-States,0,0
29,unknown,9,Never-married,unknown,Unmarried,Black,Male,40,United-States,0,0
63,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,United-States,1,3103
24,Private,10,Never-married,Other-service,Unmarried,White,Female,40,United-States,0,0
55,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,10,United-States,0,0
65,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1,6418
36,Federal-gov,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0,0
26,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,39,United-States,0,0
58,unknown,9,Married-civ-spouse,unknown,Husband,White,Male,35,United-States,0,0
48,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,1,3103
43,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1,0
20,State-gov,10,Never-married,Other-service,Own-child,White,Male,25,United-States,0,0
43,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,United-States,0,0
37,Private,9,Widowed,Machine-op-inspct,Unmarried,White,Female,20,United-States,0,0
40,Private,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,45,unknown,1,0
34,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,47,United-States,1,0
34,Private,10,Never-married,Other-service,Own-child,Black,Female,35,United-States,0,0
70,unknown,4,Divorced,unknown,Not-in-family,White,Female,6,United-States,0,0
25,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,43,Other,0,0
25,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,0
45,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,80,United-States,1,7298
22,Private,9,Never-married,Adm-clerical,Own-child,White,Male,20,United-States,0,0
23,Private,9,Separated,Machine-op-inspct,Unmarried,Black,Male,54,United-States,0,0
54,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,0,0
32,Self-emp-not-inc,10,Never-married,Prof-specialty,Not-in-family,White,Male,60,United-States,0,0
46,State-gov,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,1,7688
56,Self-emp-not-inc,7,Widowed,Other-service,Unmarried,White,Female,50,United-States,0,0
24,Self-emp-not-inc,13,Never-married,Sales,Not-in-family,White,Male,50,United-States,0,0
23,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0,0
26,Private,9,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0,0
65,unknown,9,Married-civ-spouse,unknown,Husband,White,Male,40,United-States,0,0
36,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1,0
22,Private,3,Never-married,Priv-house-serv,Not-in-family,White,Male,50,Other,0,0
